Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Currency
2023-03-25T07:05:11-0700,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.01,0,,--,0.00,,,,,,,,USD
2023-03-24T14:00:00-0700,Receive Deliver,Assignment,,UNG   230421P00012000,Equity Option,Removal of option due to assignment,0.00,1,0.00,--,0.00,100,UNG,UNG,4/21/23,12.0,PUT,,USD
2023-03-24T14:00:00-0700,Receive Deliver,Buy to Open,BUY_TO_OPEN,UNG,Equity,Buy to Open 100 UNG @ 12.00,"-1,200.00",100,-12.00,--,-5.00,,,,,,,,USD
2023-03-22T06:54:17-0700,Trade,Sell to Close,SELL_TO_CLOSE,NKE   230421C00150000,Equity Option,Sold 1 NKE 04/21/23 Call 150.00 @ 0.03,3.00,1,3.00,0.00,-0.142,100,NKE,NKE,4/21/23,150.0,CALL,260681448,USD
2023-03-22T06:54:17-0700,Trade,Buy to Close,BUY_TO_CLOSE,NKE   230421C00135000,Equity Option,Bought 1 NKE 04/21/23 Call 135.00 @ 0.74,-74.00,1,-74.00,0.00,-0.13,100,NKE,NKE,4/21/23,135.0,CALL,260681448,USD
2023-03-22T06:54:17-0700,Trade,Buy to Close,BUY_TO_CLOSE,NKE   230421P00105000,Equity Option,Bought 1 NKE 04/21/23 Put 105.00 @ 0.29,-29.00,1,-29.00,0.00,-0.13,100,NKE,NKE,4/21/23,105.0,PUT,260681448,USD
2023-03-22T06:54:17-0700,Trade,Sell to Close,SELL_TO_CLOSE,NKE   230421P00090000,Equity Option,Sold 1 NKE 04/21/23 Put 90.00 @ 0.04,4.00,1,4.00,0.00,-0.142,100,NKE,NKE,4/21/23,90.0,PUT,260681448,USD
2023-03-21T07:10:10-0700,Trade,Buy to Close,BUY_TO_CLOSE,SCHW  230421P00050000,Equity Option,Bought 1 SCHW 04/21/23 Put 50.00 @ 1.48,-148.00,1,-148.00,0.00,-0.13,100,SCHW,SCHW,4/21/23,50.0,PUT,260489339,USD
2023-03-20T08:04:01-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPX   230421P03630000,Equity Option,Bought 2 SPX 04/21/23 Put 3630.00 @ 23.70,"-4,740.00",2,"-2,370.00",0.00,-1.56,100,SPX,SPX,4/21/23,3630.0,PUT,260321518,USD
2023-03-20T08:04:01-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPX   230421P03680000,Equity Option,Sold 1 SPX 04/21/23 Put 3680.00 @ 29.40,"2,940.00",1,"2,940.00",0.00,-0.782,100,SPX,SPX,4/21/23,3680.0,PUT,260321518,USD
